Brand,TotalPurchaseDollars,TotalSalesDollars,GrossProfit,TotalPurchaseQuantity,TotalSalesQuantity,ProfitMargin,StockTurnover
274,2004.48,3014.8399999999997,505.17999999999984,108,116.0,16.756444786456328,1.0740740740740742
275,7782.28,4757.62,-1512.33,506,238.0,-31.78753242167302,0.47035573122529645
276,1018.4000000000001,1035.72,8.659999999999968,38,28.0,0.8361333178851396,0.7368421052631579
277,1154.3999999999999,869.4,-142.49999999999994,104,60.0,-16.390614216701167,0.5769230769230769
278,3513.6,3994.62,240.51,160,138.0,6.020848040614626,0.8625
281,9896.04,15255.28,2679.62,1386,1472.0,17.565197098971634,1.0620490620490621
283,37943.64,56489.98,9273.170000000002,956,1002.0,16.41560149251248,1.0481171548117154
284,53109.42,68661.09999999999,7775.8399999999965,994,890.0,11.324956926119736,0.8953722334004024
286,8449.92,3429.02,-2510.45,326,98.0,-73.21187977906224,0.3006134969325153
287,10245.9,5668.38,-2288.7599999999998,410,162.0,-40.37767404443598,0.3951219512195122
288,36413.04,22672.44,-6870.300000000001,1384,756.0,-30.30242885194536,0.546242774566474
290,97937.40000000001,127952.51999999999,15007.55999999999,2508,1748.0,11.72900697852609,0.696969696969697
294,47801.6,59141.34,5669.869999999999,7040,6966.0,9.586982641921876,0.9894886363636364
295,249.92,319.84,34.959999999999994,16,16.0,10.930465232616307,1.0
298,1866.48,2343.24,238.37999999999988,308,276.0,10.173093665181538,0.8961038961038961
300,87.0,75.96,-5.520000000000003,6,4.0,-7.266982622432865,0.6666666666666666
304,1418.1,1903.44,242.67000000000007,58,56.0,12.74902282183836,0.9655172413793104
305,397381.32,494079.48,48349.07999999999,17892,17652.0,9.7856887316996,0.9865861837692823
308,2124.32,2914.64,395.15999999999985,136,136.0,13.557763565997854,1.0
309,139.36,91.98,-23.690000000000005,4,2.0,-25.755599043270283,0.5
311,60220.8,88749.56,14264.379999999997,1836,2044.0,16.072620529048255,1.1132897603485838
313,4781.3,5937.299999999999,577.9999999999995,274,270.0,9.735064760076122,0.9854014598540146
315,282.24,543.66,130.70999999999998,24,34.0,24.04260015450833,1.4166666666666667
317,96.92,127.96,15.519999999999996,4,4.0,12.128790246952171,1.0
319,8004.06,11782.62,1889.2800000000002,318,338.0,16.03446432117814,1.0628930817610063
323,13207.6,19397.04,3094.7200000000003,1246,1296.0,15.954599258443558,1.0401284109149278
324,97.74,131.94,17.1,6,6.0,12.96043656207367,1.0
327,788.16,475.79999999999995,-156.18,48,20.0,-32.82471626733922,0.4166666666666667
332,1434.44,1079.46,-177.49,94,54.0,-16.442480499509013,0.574468085106383
335,617.76,827.64,104.94,36,36.0,12.679425837320574,1.0
336,263.9,329.90000000000003,33.00000000000003,10,10.0,10.003031221582305,1.0
338,327.78000000000003,1174.5,423.36,18,50.0,36.04597701149425,2.7777777777777777
344,26317.28,30944.519999999997,2313.619999999999,1672,1548.0,7.476671152113521,0.9258373205741627
350,21611.4,28745.539999999997,3567.069999999998,1194,1246.0,12.40912503296163,1.0435510887772195
351,535.2,695.76,80.27999999999997,24,24.0,11.538461538461535,1.0
354,512.28,1247.36,367.53999999999996,36,64.0,29.465430990251413,1.7777777777777777
