2026-09-13 12:20:37,764 - INFO - Ingesting begin_inventory.csv in db
2026-09-13 12:27:34,026 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:34,760 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:35,366 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:36,030 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:36,654 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:37,315 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:37,924 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:38,581 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:39,204 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:39,883 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:40,531 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:41,248 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:41,876 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:42,588 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:43,206 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:43,869 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:44,524 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:45,196 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:45,834 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:46,497 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:47,118 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:47,786 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:48,405 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:49,090 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:49,710 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:50,384 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:51,079 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:51,753 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:52,404 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:53,064 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:53,697 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:54,363 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:54,997 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:55,658 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:56,290 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:56,961 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:57,608 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:58,280 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:58,970 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:59,644 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:00,279 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:00,948 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:01,572 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:02,247 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:02,912 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:03,597 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:04,213 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:04,890 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:05,513 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:06,180 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:06,865 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:07,531 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:08,148 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:08,810 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:09,438 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:10,103 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:10,732 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:11,399 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:12,022 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:12,710 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:13,322 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:14,043 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:14,689 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:15,363 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:15,999 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:16,731 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:17,376 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:18,069 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:18,706 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:19,394 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:20,067 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:20,756 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:21,380 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:22,141 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:22,770 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:23,443 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:24,075 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:24,757 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:25,383 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:26,059 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:26,694 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:27,376 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:27,997 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:28,670 - INFO - Loading sales with shape (50000, 14)
